"Mark Acres","  November 15,             1962       ",211,99,"Center"," Inglewood, California us "
"Steven Adams","  July 20,             1993       ",213,120,"Center"," Rotorua, New Zealand nz "
"Alexis Ajinça","  May 6,             1988       ",218,112,"Center and Power Forward"," Sa"
"Solomon Alabi","  March 21,             1988       ",216,113,"Center"," Kaduna, Nigeria ng "
"Cole Aldrich","  October 31,             1988       ",211,113,"Center"," Burnsville, M"
"LaMarcus Aldridge","  July 19,             1985       ",211,117,"Center and Power Forward"," Dallas, Texas us "
"Chuck Aleksinas","  February 26,             1959       ",211,117,"Center"," Litchfield, Connecticut us "
"Jarrett Allen","  April 21,             1998       ",211,107,"Center"," Aust"
"Lance Allred","  February 2,             1981       ",211,113,"Center"," Salt Lake City, Utah us "
"Derrick Alston","  August 20,             1972       ",211,102,"Center"," Bronx, New York us "
"David Andersen","  June 23,             1980       ",211,111,"Power Forward and Center"," Carlton, Australia au "
"Martynas Andriuškevičius","  March 12,             1986       ",218,108,"Center"," Kaunas, Lithuania lt "
"Chris Anstey","  January 1,             1975       ",213,112,"Center"," Melbourne, Australia au "
"Giannis Antetokounmpo","  December 6,             1994       ",211,109,"Shooting Guard and Small Forward and Point Guard and Power Forward"," Athens, Greece gr "
"Pero Antić","  July 29,             1982       ",211,117,"Center"," Skopje, FYR Macedonia mk "
"Rafael Araújo","  August 12,             1980       ",211,127,"Center"," Curitiba, Brazil br "
"Robert Archibald","  March 29,             1980       ",211,113,"Center and Power Forward"," Paisley, United K"
"Hilton Armstrong","  November 11,             1984       ",211,106,"Power Forward and Center"," Peekskill, New York us "
"Ömer Aşık","  July 4,             1986       ",213,115,"Center"," Bursa, Turkey tr "
"Deandre Ayton","  July 23,             1998       ",216,113,"Center"," Nassau, Bahamas bs "
"Miloš Babić","  November 23,             1968       ",213,108,"Power Forward and Center"," Kraljevo, Serbia rs "
"Dalibor Bagarić","  February 7,             1980       ",216,115,"Center"," Munich, Germany de "
"Marvin Bagley","  March 14,             1999       ",211,106,"Power Forward"," Tempe, Arizona us "
"Carl Bailey","  April 23,             1958       ",213,95,"Center"," Birm"
"Thurl Bailey","  April 7,             1961       ",211,97,"Small Forward and Power Forward"," Wash"
"Žarko Čabarkapa","  May 21,             1981       ",211,106,"Power Forward"," Zrenjan"
"Marcus Camby","  March 22,             1974       ",211,99,"Power Forward and Center"," Hartford, Connecticut us "
"Elden Campbell","  July 23,             1968       ",211,97,"Power Forward and Center"," Los Angeles, California us "
"Al Carlson","  September 17,             1951       ",211,106,"Center"," Oceanside, California us "
"Joe Barry Carroll","  July 24,             1958       ",213,102,"Center"," P"
"Bill Cartwright","  July 30,             1957       ",216,111,"Center"," Lodi, California us "
"Kelvin Cato","  August 26,             1974       ",211,115,"Center and Power Forward"," Atlanta, Georgia us "
"Willie Cauley-Stein","  August 18,             1993       ",213,108,"Center"," Spearville, Kansas us "
"Duane Causwell","  May 31,             1968       ",213,108,"Center"," Queens Village, New York us "
"Ron Cavenall","  April 30,             1959       ",216,104,"Center"," Beaumont, Texas us "
"Wilt Chamberlain","  August 21,             1936       ",216,124,"Center"," Philadelphia, Pennsylvania us "
"Tyson Chandler","  October 2,             1982       ",216,108,"Center and Power Forward"," Hanford, California us "
"Jim Chones","  November 30,             1949       ",211,99,"Center and Power Forward"," Rac"
"Keon Clark","  April 16,             1975       ",211,99,"Power Forward and Center"," Danville, Ill"
"Charles Claxton","  December 13,             1970       ",213,120,"Center"," St. Thomas, U.S. Virg"
"Keith Closs","  April 3,             1976       ",221,96,"Center"," Hartford, Connecticut us "
"John Coker","  October 28,             1971       ",213,114,"Center"," Richland, Wash"
"Jason Collier","  September 8,             1977       ",213,117,"Center"," Spr"
"Jarron Collins","  December 2,             1978       ",211,115,"Center"," Northridge, California us "
"Jason Collins","  December 2,             1978       ",213,115,"Center and Power Forward"," Northridge, California us "
"Zach Collins","  November 19,             1997       ",213,106,"Center"," Las Vegas, Nevada us "
"Dave Corzine","  April 25,             1956       ",211,113,"Center"," Arl"
"Mel Counts","  October 16,             1941       ",213,104,"Center and Power Forward"," Coos Bay, Oregon us "
"Marcus Cousin","  December 18,             1986       ",211,111,"Center"," Baltimore, Maryland us "
"DeMarcus Cousins","  August 13,             1990       ",211,122,"Center"," Mobile, Alabama us "